Timestamp,Open price,Close price,High price,Low price,Volume
2022-08-06 15:15:00,23177,23187.5,23187.5,23157,1902365
2022-08-06 15:30:00,23187.5,23167,23193,23167,1179026
2022-08-06 15:45:00,23167,23164.5,23180,23164,1396814
2022-08-06 16:00:00,23164.5,23214.5,23221,23164,4216285
2022-08-06 16:15:00,23214.5,23190,23220,23190,1462387
2022-08-06 16:30:00,23190,23196.5,23197,23180,1122594
2022-08-06 16:45:00,23196.5,23180,23197.5,23175.5,968798
2022-08-06 17:00:00,23180,23208.5,23208.5,23173,2279452
2022-08-06 17:15:00,23208.5,23200,23218.5,23193,2860000
2022-08-06 17:30:00,23200,23197,23200.5,23187.5,2192781
2022-08-06 17:45:00,23197,23215.5,23221.5,23191.5,1659213
2022-08-06 18:00:00,23215.5,23211.5,23222,23194.5,2036646
2022-08-06 18:15:00,23211.5,23189,23211.5,23180,780514
2022-08-06 18:30:00,23189,23192.5,23193,23166,1495832
2022-08-06 18:45:00,23192.5,23202.5,23204.5,23183,964024
2022-08-06 19:00:00,23202.5,23181,23211.5,23180,1125525
2022-08-06 19:15:00,23181,23203,23209,23181,787435
2022-08-06 19:30:00,23203,23200,23207.5,23193.5,857856
2022-08-06 19:45:00,23200,23145.5,23200,23132,2775743
2022-08-06 20:00:00,23145.5,23071.5,23145.5,22961,25035594
2022-08-06 20:15:00,23071.5,23197,23224.5,23046,10942220
2022-08-06 20:30:00,23197,23165.5,23249,23153,8493012
2022-08-06 20:45:00,23165.5,23126,23198,23086,3659266
2022-08-06 21:00:00,23126,23125.5,23134,23078.5,3186903
2022-08-06 21:15:00,23125.5,23132,23156.5,23104.5,2668448
2022-08-06 21:30:00,23132,23189.5,23199,23132,2442188
2022-08-06 21:45:00,23189.5,23185,23212,23166.5,1576191
2022-08-06 22:00:00,23185,23192,23201.5,23173,1073824
2022-08-06 22:15:00,23192,23177,23200,23144,2602366
2022-08-06 22:30:00,23177,23185.5,23191,23163,875468
2022-08-06 22:45:00,23185.5,23185.5,23196,23172,1048736
2022-08-06 23:00:00,23185.5,23151.5,23196.5,23149,1774453
2022-08-06 23:15:00,23151.5,23118.5,23152,23101,3697983
2022-08-06 23:30:00,23118.5,23132.5,23158.5,23105,2610620
2022-08-06 23:45:00,23132.5,23164.5,23165,23120,1903005
2022-08-07 00:00:00,23164.5,23192.5,23199.5,23164,3896555
2022-08-07 00:15:00,23192.5,23174,23197.5,23164,1234758
2022-08-07 00:30:00,23174,23175,23177.5,23168.5,410026
2022-08-07 00:45:00,23175,23178,23199.5,23175,1003029
